曲名,日期,歌姬,作曲,作词,视频制作,链接
P名言ってみろ！,2011年04月08日,初音ミク,MARETU,MARETU,MARETU Haku (绘图),https://www.nicovideo.jp/watch/sm14100039
アキバヲタP言ってみろ,2011年04月10日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm14124394
P名言ってみろ！完全版,2011年04月13日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm14149579
姓名言ってみろ！,2011年05月13日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm14439679
アンチボーカロイド,2011年06月18日,初音ミク,MARETU,MARETU,きつね狼 きつね狼 (绘图),https://www.nicovideo.jp/watch/sm14775389
カエッテ　シャワッテ　スッパゲレ,2011年08月12日,初音ミク,MARETU,ＫＩＴ(MARETU略作改编),MARETU ＫＩＴ (绘图),https://www.nicovideo.jp/watch/sm15291016
いのり,2011年08月14日,初音ミク,MARETU,迎居昭彦,MARETU 迎居昭彦 (绘图),https://www.nicovideo.jp/watch/sm15305941
ロードローラー,2012年02月10日,初音ミク,MARETU,バスドラ连打P,バスドラ连打P かずきねこ、カザグルマ、シャオウ、ダルマ、syou、yoko (绘图),https://www.nicovideo.jp/watch/sm16931897
ROCKET DIVE,2012年04月27日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm17661712
テーハミント,2013年01月23日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm19897886
コインロッカーベイビー,2013年02月02日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm19980280
脑内革命ガール,2013年09月20日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm21870906
少女ケシゴム,2013年12月27日,初音ミク、GUMI,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm22542108
パケットヒーロー,2015年01月09日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm25309940
うみたがり,2015年05月02日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm26161338
マインドブランド,2015年05月29日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm26364502
スクラマイズ,2015年08月20日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm26975206
うまれるまえは,2015年09月17日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm27175422
ミセエネン,2015年10月30日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm27481882
スヂ,2015年12月11日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm27771293
マエガミスト,2016年05月27日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm28930143
ドクハク,2016年12月27日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm30301328
アイムハイ,2017年04月08日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm30990093
すべてはまぼろし,2017年04月16日,初音ミク,ポッジーニ,ポッジーニ,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm31041896
ホワイトハッピー,2017年06月30日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm31485619
うみなおし,2017年08月25日,初音ミク、音街ウナ,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm31808640
ダーリン,2017年09月29日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm32012728
トウテツ,2018年01月01日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm32516487
再演,2018年01月13日,初音ミク,赤い林檎,赤い林檎,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm32576768
コウカツ,2018年03月16日,初音ミク、音街ウナ,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm32891453
トゥール,2018年11月11日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm34158146
ゴキブリの味,2019年8月24日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm35584107
ヤミツキ,2019年9月26日,初音ミク,MARETU,MARETU,suckerpunch しきみ (绘图),https://www.nicovideo.jp/watch/sm35659266
しう,2019年11月9日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm35928733
マジカルドクター,2019年12月27日,初音ミク,MARETU,MARETU,MARETU(兼绘图),https://www.nicovideo.jp/watch/sm36142547
ヒトリユラリ,2020年10月17日,初音ミク,Kanaria、MARETU,Kanaria,のう (绘图),https://www.nicovideo.jp/watch/sm37681988
ナミダ,2021年5月21日,初音ミク,MARETU,MARETU,MARETU,https://www.nicovideo.jp/watch/sm38767428
ぴんく,2021年7月25日,初音ミク,MARETU,MARETU,MARETU,https://www.nicovideo.jp/watch/sm39082282
ニューダーリン,2021年12月27日,初音ミク,MARETU,MARETU,MARETU,https://www.nicovideo.jp/watch/sm39813844
